SK-007,Luck LV. 1,Mercenaries,Skill,1 XP,null,null,While your character is at 20 or more health~ if that character would have its health reduced to 0 or less~ it takes 10 damage instead
SK-008,Luck LV. 2,Mercenaries,Skill,3 XP,null,null,When your character would receive any damage~ you may negate that damage. If you do~ remove all XP on this skill from the game
SK-009,Luck LV. 3,Mercenaries,Skill,5 XP,null,null,This skill has the same effect(s) as your other activated skills. If you are playing Mercenaries Mode~ your teammate gets your other activated skill effect(s) instead
SK-010,Toughness LV. 1,Mercenaries,Skill,2 XP,null,null,When you or your character would be affected by an infected's effect~ you may remove all XP on this skill from the game. If you do~ you or your character are not affected by that effect
SK-011,Toughness LV. 2,Mercenaries,Skill,3 XP,null,null,Reduce all damage your character takes by 10
SK-012,Toughness LV. 3,Mercenaries,Skill,4 XP,null,null,When you or your character would be affected by an infected's effect~ you may remove all XP on this skill from the game. If you do~ choose another player or character. That player or character is affected instead
SK-013,Reversal LV. 1,Mercenaries,Skill,2 XP,null,null,During your turn~ you can give your character 10 damage. If you do~ remove all XP on this skill from the game. Then~ you get +3 cards and +1 action during this turn
SK-014,Reversal LV. 2,Mercenaries,Skill,3 XP,null,null,During your turn~ you can give your character 20 damage. If you do~ trash up to two cards from your discard pile
SK-015,Reversal LV. 3,Mercenaries,Skill,4 XP,null,null,When your character explores~ you may remove all XP on the skill from the game. If you do~ your character deals an additional X damage during this turn~ where X equals the mount of damage on that character
SK-016,Smart Reload LV. 1,Mercenaries,Skill,3 XP,null,null,During your turn~ you may trash an “Ammo” card with a cost of 0 from your hand. If you do~ gain an “Ammo” card with a cost of 30 or less
SK-017,Smart Reload LV. 2,Mercenaries,Skill,4 XP,null,null,At the beginning of your turn~ you get +10 gold and +10 ammo during this turn
SK-018,Smart Reload LV. 3,Mercenaries,Skill,5 XP,null,null,During your turn~ while your character is not exploring~ you may move a weapon from your play area to the top of your inventory
SK-019,Weapon Master LV. 1,Mercenaries,Skill,3 XP,null,null,During your turn~ you may name a weapon type. If you do~ all of your weapons of that type have -10 ammo requirement during this turn
SK-020,Weapon Master LV. 2,Mercenaries,Skill,5 XP,null,null,When your character explores~ all weapons that character is using get +5 damage during this turn
SK-021,Weapon Master LV. 3,Mercenaries,Skill,6 XP,null,null,When your character explores~ you may apply the effect of one weapon that character is using twice
SK-022,Giant Killing LV. 1,Mercenaries,Skill,2 XP,null,null,While your character is exploring~ if an infected with 40 or more health is revealed~ reduce that infected's damage to 0 during this turn
SK-023,Giant Killing LV. 2,Mercenaries,Skill,4 XP,null,null,While your character is exploring~ if an infected with 40 or more health is revealed~ you may have your character deal an additional 20 damage during this turn
SK-024,Giant Killing LV. 3,Mercenaries,Skill,6 XP,null,null,While your character is exploring~ if an infected with 40 or more health is revealed~ you may have all of the weapons that character is using each get +10 damage during this turn
SK-025,Maximizer LV. 1,Mercenaries,Skill,2 XP,null,null,When your character defeats an infected worth two or more decorations~ you get one XP
SK-026,Maximizer LV. 2,Mercenaries,Skill,3 XP,null,null,During your turn~ you may remove one XP on your character from the game. If you do~ trash one card from your hand
SK-027,Maximizer LV. 3,Mercenaries,Skill,4 XP,null,null,When your character explores~ you may remove any amount of XP on your character from the game. If you do~ one weapon that character is using gets +10 damage during this turn for each XP removed
SK-028,Handgun Technique LV. 1,Mercenaries,Skill,4 XP,null,null,All of your “Pistol” weapons have -10 ammo requirement 
SK-029,Handgun Technique LV. 2,Mercenaries,Skill,5 XP,null,null,"At the beginning of your turn~ you may reveal two ""Pistol"" weapons in your hand. If you do~ you get +1 explore during this turn"
SK-030,Handgun Technique LV. 3,Mercenaries,Skill,6 XP,null,null,When your character explores~ every “Pistol” weapon that character is using gets +10 damage during this turn
